grupo,posicion_grupo,equipo,PJ,PG,PE,PP,GF,GC,DG,puntos,ranking_fifa_2026,tipo_clasificacion,seed_diecisavos
I,1,France,3,3,0,0,7,1,6,9,3,1.º o 2.º del grupo,1
J,1,Argentina,3,3,0,0,6,0,6,9,1,1.º o 2.º del grupo,2
A,1,Mexico,3,3,0,0,6,0,6,9,14,1.º o 2.º del grupo,3
K,1,Colombia,3,3,0,0,3,0,3,9,13,1.º o 2.º del grupo,4
F,1,Netherlands,3,2,1,0,10,4,6,7,8,1.º o 2.º del grupo,5
C,1,Brazil,3,2,1,0,7,1,6,7,6,1.º o 2.º del grupo,6
H,1,Spain,3,2,1,0,5,0,5,7,2,1.º o 2.º del grupo,7
B,1,Switzerland,3,2,1,0,7,3,4,7,19,1.º o 2.º del grupo,8
L,1,England,3,2,1,0,6,2,4,7,4,1.º o 2.º del grupo,9
E,1,Germany,3,2,0,1,10,4,6,6,10,1.º o 2.º del grupo,10
D,1,United States,3,2,0,1,8,4,4,6,17,1.º o 2.º del grupo,11
G,1,IR Iran,3,1,2,0,3,2,1,5,20,1.º o 2.º del grupo,12
C,2,Morocco,3,2,1,0,6,3,3,7,7,1.º o 2.º del grupo,13
I,2,Norway,3,2,0,1,7,4,3,6,31,1.º o 2.º del grupo,14
E,2,Côte d'Ivoire,3,2,0,1,4,2,2,6,33,1.º o 2.º del grupo,15
J,2,Austria,3,2,0,1,4,3,1,6,24,1.º o 2.º del grupo,16
L,2,Croatia,3,2,0,1,4,4,0,6,11,1.º o 2.º del grupo,17
F,2,Japan,3,1,2,0,7,3,4,5,18,1.º o 2.º del grupo,18
H,2,Cape Verde,3,1,2,0,3,2,1,5,999,1.º o 2.º del grupo,19
G,2,Belgium,3,1,2,0,2,1,1,5,9,1.º o 2.º del grupo,20
B,2,Canada,3,1,1,1,8,3,5,4,30,1.º o 2.º del grupo,21
K,2,Portugal,3,1,1,1,6,2,4,4,5,1.º o 2.º del grupo,22
D,2,Australia,3,1,1,1,2,2,0,4,27,1.º o 2.º del grupo,23
A,2,South Africa,3,1,1,1,2,3,-1,4,60,1.º o 2.º del grupo,24
G,3,Egypt,3,1,1,1,4,3,1,4,29,Mejor tercero,25
F,3,Sweden,3,1,1,1,7,7,0,4,38,Mejor tercero,26
E,3,Ecuador,3,1,1,1,2,2,0,4,23,Mejor tercero,27
K,3,Congo DR,3,1,1,1,2,2,0,4,45,Mejor tercero,28
L,3,Ghana,3,1,1,1,1,1,0,4,73,Mejor tercero,29
B,3,Bosnia-Herzegovina,3,1,1,1,5,6,-1,4,64,Mejor tercero,30
D,3,Paraguay,3,1,1,1,2,4,-2,4,40,Mejor tercero,31
I,3,Senegal,3,1,0,2,5,6,-1,3,15,Mejor tercero,32
