numero_partido,round,slot_local,slot_visitante,home_team,away_team,partido,goles_local_esperados,goles_visitante_esperados,goles_local_esperados_calibrados,goles_visitante_esperados_calibrados,fuerza_relativa,marcador_estimado,probabilidad_marcador_estimado,prediccion_resultado,prob_derrota_local,prob_empate,prob_victoria_local,confianza_modelo,clasificado_octavos,criterio_clasificacion
73,,2A,2B,South Africa,Canada,South Africa vs Canada,1.79197947892907,0.902771973979108,0.9627617934454231,1.7163547281025522,-0.76,South Africa 1 - 1 Canada,0.11339668958910351,Derrota local,0.5509681461346574,0.23841658954104553,0.21061526432429709,0.5509681461346574,Canada,Empate; clasifica por penales según mayor probabilidad del modelo
74,,1E,3D,Germany,Paraguay,Germany vs Paraguay,1.5439206414960553,0.7317169166728013,3.3517450343176933,0.483608574703191,1.2933333333333334,Germany 3 - 0 Paraguay,0.1355154354606382,Victoria local,0.026403060945601752,0.07361416840007981,0.8999827706543184,0.8999827706543184,Germany,Gana en tiempo reglamentario
75,,1F,2C,Netherlands,Morocco,Netherlands vs Morocco,1.592429201484286,0.8499986338599148,2.187358187136732,1.232749141762785,0.348,Netherlands 2 - 1 Morocco,0.09646078341539321,Victoria local,0.20767542667920488,0.20152840297884372,0.5907961703419514,0.5907961703419514,Netherlands,Gana en tiempo reglamentario
76,,1C,2F,Brazil,Japan,Brazil vs Japan,1.8203854622539188,0.7170722096005827,2.0681822661839684,0.5554210703751354,0.5573333333333335,Brazil 2 - 0 Japan,0.15514263821386692,Victoria local,0.08759229841643235,0.1830839600037021,0.7293237415798656,0.7293237415798656,Brazil,Gana en tiempo reglamentario
77,,1I,3F,France,Sweden,France vs Sweden,1.329654758648036,1.0349483998463809,3.9115935175316334,0.5361359436791586,1.52,France 4 - 0 Sweden,0.114177168112747,Victoria local,0.01938359208865178,0.052560861947876625,0.9280555459634716,0.9280555459634716,France,Gana en tiempo reglamentario
78,,2E,2I,Côte d'Ivoire,Norway,Côte d'Ivoire vs Norway,1.5725585426551918,1.0515511406130393,1.4000098672702348,1.1297662751640503,-0.12066666666666667,Côte d'Ivoire 1 - 1 Norway,0.12602360067889729,Victoria local,0.3035220384804193,0.2652135080055792,0.43126445351400144,0.43126445351400144,Côte d'Ivoire,Empate; clasifica por penales según mayor probabilidad del modelo
79,,1A,3E,Mexico,Ecuador,Mexico vs Ecuador,1.3321504210409612,1.0060610411844324,1.7624160256979777,0.3595014885870196,1.468,Mexico 2 - 0 Ecuador,0.18605862333731557,Victoria local,0.06892993130520382,0.20861102695273462,0.7224590417420615,0.7224590417420615,Mexico,Gana en tiempo reglamentario
80,,1L,3K,England,Congo DR,England vs Congo DR,1.7232501232808801,0.7898860375650577,1.8241990516538342,0.4354004137624584,0.9986666666666667,England 2 - 0 Congo DR,0.17369322401651077,Victoria local,0.08079051836188812,0.20529784419395394,0.713911637444158,0.713911637444158,England,Gana en tiempo reglamentario
81,,1D,3B,United States,Bosnia-Herzegovina,United States vs Bosnia-Herzegovina,1.6353791402492746,1.0355191299246727,3.5274999080634637,0.9954548084490485,0.9773333333333333,United States 3 - 1 Bosnia-Herzegovina,0.0790636857902685,Victoria local,0.0650485365695641,0.09882437027583672,0.8361270931545992,0.8361270931545992,United States,Gana en tiempo reglamentario
82,,1G,3I,IR Iran,Senegal,IR Iran vs Senegal,1.2982530057462125,1.161290732587384,1.5923789599929024,0.8647807553471882,0.5233333333333333,IR Iran 1 - 0 Senegal,0.13643177365049775,Victoria local,0.20377918194562414,0.2510593629773517,0.5451614550770241,0.5451614550770241,IR Iran,Gana en tiempo reglamentario
83,,2K,2L,Portugal,Croatia,Portugal vs Croatia,1.4930960778685116,1.0255499216349833,1.7930377060326472,0.8114024848344131,0.17866666666666658,Portugal 1 - 0 Croatia,0.1325853132872617,Victoria local,0.16556917410544306,0.22758879278865998,0.606842033105897,0.606842033105897,Portugal,Gana en tiempo reglamentario
84,,1H,2J,Spain,Austria,Spain vs Austria,1.5027017165380903,0.9184106460193346,1.6519186215448332,0.4114215025719379,0.6606666666666667,Spain 1 - 0 Austria,0.20984151769975157,Victoria local,0.08748581642589412,0.22918713668392407,0.6833270468901818,0.6833270468901818,Spain,Gana en tiempo reglamentario
85,,1B,3G,Switzerland,Egypt,Switzerland vs Egypt,1.7514381183067471,0.8776250655903834,2.179269213399655,0.7339840496010291,0.8200000000000001,Switzerland 2 - 0 Egypt,0.12893830449127608,Victoria local,0.11191524358903025,0.18271526922051734,0.7053694871904523,0.7053694871904523,Switzerland,Gana en tiempo reglamentario
86,,1J,2H,Argentina,Cape Verde,Argentina vs Cape Verde,1.877956058622567,0.7532491286708078,2.421086869081012,0.2452691829130833,1.8,Argentina 2 - 0 Cape Verde,0.2037075046080854,Victoria local,0.025382117999383863,0.1173254292009174,0.8572924527996987,0.8572924527996987,Argentina,Gana en tiempo reglamentario
87,,1K,3L,Colombia,Ghana,Colombia vs Ghana,1.820231790378881,1.0262821052390942,1.53905265003826,0.3930977215241454,1.2200000000000002,Colombia 1 - 0 Ghana,0.22291086259418694,Victoria local,0.09148722925903907,0.2466409530795777,0.6618718176613831,0.6618718176613831,Colombia,Gana en tiempo reglamentario
88,,2D,2G,Australia,Belgium,Australia vs Belgium,1.0059581556741781,1.4404132483087102,0.5671185754261594,1.0084521784883247,-0.3026666666666667,Australia 0 - 1 Belgium,0.20863810246171086,Derrota local,0.45407209311112506,0.3432438557261158,0.20268405116275923,0.45407209311112506,Belgium,Gana en tiempo reglamentario
