grupo,posicion_grupo,equipo,PJ,PG,PE,PP,GF,GC,DG,puntos,ranking_fifa_2026
A,1,Mexico,3,3,0,0,6,0,6,9,14
A,2,South Africa,3,1,1,1,2,3,-1,4,60
A,3,Korea Republic,3,1,0,2,2,3,-1,3,25
A,4,Czechia,3,0,1,2,2,6,-4,1,39
B,1,Switzerland,3,2,1,0,7,3,4,7,19
B,2,Canada,3,1,1,1,8,3,5,4,30
B,3,Bosnia-Herzegovina,3,1,1,1,5,6,-1,4,64
B,4,Qatar,3,0,1,2,2,10,-8,1,57
C,1,Brazil,3,2,1,0,7,1,6,7,6
C,2,Morocco,3,2,1,0,6,3,3,7,7
C,3,Scotland,3,1,0,2,1,4,-3,3,42
C,4,Haiti,3,0,0,3,2,8,-6,0,83
D,1,United States,3,2,0,1,8,4,4,6,17
D,2,Australia,3,1,1,1,2,2,0,4,27
D,3,Paraguay,3,1,1,1,2,4,-2,4,40
D,4,Türkiye,3,1,0,2,3,5,-2,3,22
E,1,Germany,3,2,0,1,10,4,6,6,10
E,2,Côte d'Ivoire,3,2,0,1,4,2,2,6,33
E,3,Ecuador,3,1,1,1,2,2,0,4,23
E,4,Curaçao,3,0,1,2,1,9,-8,1,82
F,1,Netherlands,3,2,1,0,10,4,6,7,8
F,2,Japan,3,1,2,0,7,3,4,5,18
F,3,Sweden,3,1,1,1,7,7,0,4,38
F,4,Tunisia,3,0,0,3,2,12,-10,0,46
G,1,IR Iran,3,1,2,0,3,2,1,5,20
G,2,Belgium,3,1,2,0,2,1,1,5,9
G,3,Egypt,3,1,1,1,4,3,1,4,29
G,4,New Zealand,3,0,1,2,3,6,-3,1,85
H,1,Spain,3,2,1,0,5,0,5,7,2
H,2,Cape Verde,3,1,2,0,3,2,1,5,999
H,3,Uruguay,3,0,2,1,3,4,-1,2,16
H,4,Saudi Arabia,3,0,1,2,1,6,-5,1,61
I,1,France,3,3,0,0,7,1,6,9,3
I,2,Norway,3,2,0,1,7,4,3,6,31
I,3,Senegal,3,1,0,2,5,6,-1,3,15
I,4,Iraq,3,0,0,3,1,9,-8,0,56
J,1,Argentina,3,3,0,0,6,0,6,9,1
J,2,Austria,3,2,0,1,4,3,1,6,24
J,3,Algeria,3,1,0,2,2,5,-3,3,28
J,4,Jordan,3,0,0,3,2,6,-4,0,63
K,1,Colombia,3,3,0,0,3,0,3,9,13
K,2,Portugal,3,1,1,1,6,2,4,4,5
K,3,Congo DR,3,1,1,1,2,2,0,4,45
K,4,Uzbekistan,3,0,0,3,0,7,-7,0,50
L,1,England,3,2,1,0,6,2,4,7,4
L,2,Croatia,3,2,0,1,4,4,0,6,11
L,3,Ghana,3,1,1,1,1,1,0,4,73
L,4,Panama,3,0,0,3,0,4,-4,0,34
